en,es,i18n_id,zh
"Service Changes Sunday, June 26",Cambios de servicio el domingo 26 de junio,service_changes_sunday_june_26,6<0x6708>26<0x65E5><0x5468><0x65E5><0x670D><0x52A1><0x53D8><0x66F4>
Current line at this stop:,L<0x00ED>nea actual en esta parada:,current_stop,<0x672C><0x7AD9><0x76EE><0x524D><0x7684><0x7EBF><0x8DEF><0xFF1A>
Current lines at this stop:,L<0x00ED>neas actuales en esta parada:,current_stop_pl,<0x672C><0x7AD9><0x76EE><0x524D><0x7684><0x7EBF><0x8DEF><0xFF1A>
This line stops here:,Esta l<0x00ED>nea se para aqu<0x00ED>:,line_stop,<0x6B64><0x7EBF><0x8DEF><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
These lines stop here:,Estas l<0x00ED>neas se paran aqu<0x00ED>:,line_stop_pl,<0x4EE5><0x4E0B><0x7EBF><0x8DEF><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
This line will <CharStyle:Underline>not<CharStyle:> stop here:,Esta l<0x00ED>nea <CharStyle:Underline>no<CharStyle:> se parar<0x00E1> aqu<0x00ED>:,not_stop,<0x6B64><0x7EBF><0x8DEF><0x4E0D><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
These lines will <CharStyle:Underline>not<CharStyle:> stop here:,Estas l<0x00ED>neas <CharStyle:Underline>no<CharStyle:> se parar<0x00E1>n aqu<0x00ED>:,not_stop_pl,<0x4EE5><0x4E0B><0x7EBF><0x8DEF><0x4E0D><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
This line will <CharStyle:Underline>begin<CharStyle:> stopping here:,Esta l<0x00ED>nea <CharStyle:Underline>comienza<CharStyle:> a pararse aqu<0x00ED>:,begin_stop,<0x6B64><0x7EBF><0x8DEF><0x5C06><0x5F00><0x59CB><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
These lines will <CharStyle:Underline>begin<CharStyle:> stopping here:,Estas l<0x00ED>neas <CharStyle:Underline>comienzan<CharStyle:> a pararse aqu<0x00ED>:,begin_stop_pl,<0x4EE5><0x4E0B><0x7EBF><0x8DEF><0x5C06><0x5F00><0x59CB><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
This line will <CharStyle:Underline>also<CharStyle:> stop here:,Esta l<0x00ED>nea <CharStyle:Underline>tambi<0x00E9>n<CharStyle:> se parar<0x00E1> aqu<0x00ED>:,also_stop,<0x6B64><0x7EBF><0x8DEF><0x4E5F><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
These lines will <CharStyle:Underline>also<CharStyle:> stop here:,Estas l<0x00ED>neas <CharStyle:Underline>tambi<0x00E9>n<CharStyle:> se parar<0x00E1>n aqu<0x00ED>:,also_stop_pl,<0x4EE5><0x4E0B><0x7EBF><0x8DEF><0x4E5F><0x5728><0x6B64><0x5904><0x505C><0x7559><0xFF1A>
This bus stop will be removed.,<CharStyle:CondensedBold>Esta parada de autob<0x00FA>s ser<0x00E1> eliminada.<CharStyle:>,stop_removed,<0x672C><0x7AD9><0x5C06><0x88AB><0x79FB><0x9664>
"For more information, call (510) 891-4777 or visit actransit.org.","Para m<0x00E1>s informaci<0x00F3>n, llame al (510) 891-4777 o visite actransit.org.",more_info,<0x5982><0x60F3><0x4E86><0x89E3><0x66F4><0x591A><0x8BE6><0x60C5><0xFF0C><0x8BF7><0x81F4><0x7535> (510) 891-4777 <0x6216><0x9020><0x8BBF> visit actransit.org.
Limited weekday hours,Horario limitado en d<0x00ED>as laborables,limited_weekday_hours,<0x6709><0x9650><0x7684><0x5DE5><0x4F5C><0x65E5><0x65F6><0x6BB5>
Limited weekday service,Servicio limitado en d<0x00ED>as laborables,limited_weekday_service,<0x6709><0x9650><0x7684><0x5DE5><0x4F5C><0x65E5><0x670D><0x52A1>
Tuesdays and Thursdays only,S<0x00F3>lo los martes y jueves,t_th_only,<0x4EC5><0x9650><0x5468><0x4E8C><0x548C><0x5468><0x56DB>
"Mondays, Wednesdays, and Fridays only","S<0x00F3>lo los lunes, mi<0x00E9>rcoles y viernes",m_w_f_only,<0x4EC5><0x9650><0x5468><0x4E00><0x3001><0x5468><0x4E09><0xFF0C><0x548C><0x5468><0x4E94>
Weekends only,S<0x00F3>lo los fines de semana,we_only,<0x4EC5><0x9650><0x5468><0x672B>
Nights only,S<0x00F3>lo por las noches,nights_only,<0x4EC5><0x9650><0x591C><0x95F4>
Counterclockwise,En sentido contrario a las agujas del reloj,ccw,<0x9006><0x65F6><0x9488>
Clockwise,En el sentido de las agujas del reloj,cw,<0x987A><0x65F6><0x9488>
Evenings only,S<0x00F3>lo por las tardes,evenings_only,<0x4EC5><0x9650><0x508D><0x665A>
Late evenings only,S<0x00F3>lo por las tardes-noches,late_evenings_only,<0x4EC5><0x9650><0x665A><0x4E0A>
Limited weekend hours,Horario limitado de fin de semana,limited_weekend_hours,<0x6709><0x9650><0x7684><0x5468><0x672B><0x65F6><0x6BB5>
Sundays and holidays only,S<0x00F3>lo los domingos y festivos,su_hol_only,<0x4EC5><0x9650><0x5468><0x65E5><0x548C><0x8282><0x5047><0x65E5>
Transbay riders only,S<0x00F3>lo para viajeros de Transbay,transbay_riders_only,<0x4EC5><0x9650><0x8DE8><0x6E7E><0x4E58><0x5BA2>
a.m. commute hours,Horas a.m. de viaje diario,am_commute_hours,<0x4E0A><0x5348><0x901A><0x52E4><0x65F6><0x6BB5>
except a.m. commute hours,Excepto en las horas a.m. de viaje diario,except_am_commute_hours,<0x9664><0x4E86><0x4E0A><0x5348><0x901A><0x52E4><0x65F6><0x6BB5> 
p.m. commute hours,Horas p.m. de viaje diario,pm_commute_hours,<0x4E0B><0x5348><0x901A><0x52E4><0x65F6><0x6BB5>
except p.m. commute hours,Excepto en las horas p.m. de viaje diario,except_pm_commute_hours,<0x9664><0x4E86><0x4E0B><0x5348><0x901A><0x52E4><0x65F6><0x6BB5>
New Bus Stop,<CharStyle:CondensedBold>Nueva Parada de Autob<0x00FA>s<CharStyle:>,new_bus_stop,<0x65B0><0x516C><0x4EA4><0x7AD9>
Board Line 1 for East 14th St. to San Leandro BART. Transfer there to Line 10 for areas south of downtown San Leandro.,Suba a la l<0x00ED>nea 1 hacia East 14th St. hasta San Leandro BART. Haga el transbordo ah<0x00ED> a la l<0x00ED>nea 10 para ir a sitios al sur del centro de San Leandro.,su16_1,<0x642D><0x4E58> East 14th St. <0x65B9><0x5411><0x7684>1<0x8DEF><0xFF0C><0x53BB><0x5F80> San Leandro BART <0x7AD9><0x3002> <0x4ECE><0x90A3><0x91CC><0x8F6C><0x4E58>10<0x8DEF><0xFF0C><0x53BB><0x5F80> San Leandro <0x5E02><0x4E2D><0x5FC3><0x5357><0x90E8><0x3002>
Board Line 1 for International Blvd. Transfer to Line 10 at San Leandro BART for East 14th St.,Suba a la l<0x00ED>nea 1 hacia International Blvd. Haga el transbordo a la l<0x00ED>nea 10 en San Leandro BART para ir hacia East 14th St.,su16_2,<0x642D><0x4E58> International Blvd. <0x65B9><0x5411><0x7684>1<0x8DEF><0xFF0C><0x5728> San Leandro BART <0x7AD9><0x8F6C><0x4E58>10<0x8DEF><0x53BB><0x5F80> East 14th St.<0x3002>
Board Line 1 for International Blvd. Transfer to Line 6 on Broadway for Telegraph Ave.,Suba a la l<0x00ED>nea 1 hacia International Blvd. Haga el transbordo a la l<0x00ED>nea 6 en Broadway para ir hacia Telegraph Ave.,su16_3,<0x642D><0x4E58> International Blvd. <0x65B9><0x5411><0x7684>1<0x8DEF><0xFF0C><0x5728> Broadway <0x8F6C><0x4E58>6<0x8DEF><0x53BB><0x5F80> Telegraph Ave.<0x3002>
Board Line 1 for International Blvd. and East 14th St. to San Leandro BART. Transfer there to Line 10 for areas south of downtown San Leandro.,Suba a la l<0x00ED>nea 1 hacia International Blvd. y East 14th St. hasta San Leandro BART. Haga el transbordo ah<0x00ED> a la l<0x00ED>nea 10 para ir a sitios al sur del centro de San Leandro.,su16_4,<0x642D><0x4E58> International Blvd <0x548C> East 14th St. <0x65B9><0x5411><0x7684>1<0x8DEF><0xFF0C><0x53BB><0x5F80> San Leandro BART <0x7AD9><0x3002><0x4ECE><0x90A3><0x91CC><0x8F6C><0x4E58>10<0x8DEF><0xFF0C><0x53BB><0x5F80> San Leandro <0x5E02><0x4E2D><0x5FC3><0x5357><0x90E8><0x3002>
Board Line 1 for International Blvd. and downtown Oakland. Transfer to Line 6 on Broadway for Telegraph Ave.,Suba a la l<0x00ED>nea 1 hacia International Blvd. y downtown Oakland. Haga el transbordo a la l<0x00ED>nea 6 en Broadway para ir hacia Telegraph Ave.,su16_5,<0x642D><0x4E58> International Blvd. <0x548C> Oakland <0x5E02><0x4E2D><0x5FC3><0x65B9><0x5411><0x7684>1<0x8DEF><0x3002><0x5728> Broadway <0x4E0A><0x8F6C><0x4E58>6<0x8DEF><0x53BB><0x5F80> Telegraph Ave. <0x3002>
Board Line 1 for International Blvd. on Davis St. at Hays St.,Suba a la l<0x00ED>nea 1 hacia International Blvd. en Davis St. con Hays St.,su16_6,<0x4ECE> Davis St. <0x4E0A><0x7684> Hays St. <0x7AD9><0x642D><0x4E58><0x5F00><0x5F80>International Blvd. <0x65B9><0x5411><0x7684>1<0x8DEF><0x3002>
